Archivo,Texto
1,bahia cocoa review shower continu week bahia cocoa zone allevi drought earli januari improv prospect come temporao normal humid level restor comissaria smith weekli review dri period mean temporao late year arriv week end februari bag kilo make cumul total season mln stage year cocoa deliv earlier consign includ arriv figur comissaria smith doubt crop cocoa harvest practic end total bahia crop estim mln bag sale stand mln hundr thousand bag hand farmer middlemen export processor doubt cocoa fit export shipper experienc dificulti obtain certif view lower qualiti recent week farmer sold good part cocoa held consign comissaria smith spot bean price rose cruzado arroba kilo bean shipper reluct offer nearbi shipment limit sale book march shipment dlr tonn port name crop sale light open port dlr dlr york juli dlr tonn fob routin sale butter made sold dlr butter time york dlr dlr time york sept dlr time york dec comissaria smith destin covert currenc area uruguay open port cake sale regist dlr dlr dlr aug time york dec buyer argentina uruguay convert currenc area liquor sale limit sell dlr dlr time york juli dlr time york sept time york dec comissaria smith total bahia sale estim mln bag crop mln bag crop final figur period februari expect publish brazilian cocoa trade commiss carniv end midday februari
10,comput termin system lt cpml complet sale comput termin system complet sale share common stock warrant acquir addit mln share lt sedio lugano switzerland dlr compani warrant exercis year purchas price dlr share comput termin sedio buy addit share increas total hold pct comput termin outstand common stock circumst involv chang control compani compani condit occur warrant exercis price equal pct common market price time exceed dlr share comput termin sold technolgi right dot matrix impact technolog includ futur improv lt woodco houston tex dlr continu exclus worldwid license technolog woodco compani move part reorgan plan pay current oper cost ensur product deliveri comput termin make comput gener label form tag ticket printer termin
100,trade bank deposit growth rise slightli zealand trade bank season adjust deposit growth rose pct januari compar rise pct decemb reserv bank total deposit rose pct compar pct increas decemb year pct rise year ago period weekli statist releas total deposit rose billion dlr januari compar billion decemb billion januari
1000,nation amus up viacom lt bid viacom intern lt nation amus rais offer viacom publicli held stock compani special committe board plan meet today offer submit march lt mcv hold spokeswoman unabl committe met plan yesterday viacom nation amus arsen hold subsidiari rais amount cash offer viacom share ct dlr fraction share exchang arsen hold prefer includ rais ct dlr nation amus own pct viacom stock
10000,roger lt rog see qtr net significantli roger corp quarter earn significantli earn dlr ct share quarter year compani expect revenu quarter higher revenu mln dlr post quarter roger reach agreement sale mold switch circuit product line major supplier sale term disclos complet earli quarter roger
10002,island telephon share split approv lt island telephon previous announc common share split approv sharehold annual meet
10005,grow impati japan thatcher prime minist margaret thatcher grow impati japanes trade barrier warn power countri offer reciproc access market told parliament bid cabl wireless plc lt enter japanes telecommun market regard govern test case wrote prime minist japan mr nakason fourth march express interest cabl wireless bid repli test open japanes market thatcher thatcher told parliament shortli power power financi servic act bank act action case countri offer full access financi servic cabl wireless seek stake propos japanes telecommun rival kokusai denshin denwa japanes minist post telecommun report oppos cabl wireless manageri role compani
10008,questech lt qtec year net shr loss nil profit ct net loss profit rev mln mln year shr profit ct profit ct net profit profit rev mln mln note current year net includ charg discontinu oper dlr
10011,canada oil export rise pct canadian oil export rose pct previou year mln cubic meter oil import soar pct mln cubic meter statist canada product unchang previou year mln cubic feet natur ga export plung pct billion cubic meter canadian sale slip pct billion cubic meter feder agenc decemb oil product fell pct mln cubic meter export rose pct mln cubic meter import rose pct mln cubic meter natur ga export fell pct month billion cubic meter canadian sale eas pct billion cubic meter
10014,coffe sugar cocoa exchang name chairman york coffe sugar cocoa exchang csce elect vice chairman gerald clanci term chairman board manag replac previou chairman howard katz katz chairman remain board member clanci serv exchang board manag chairman appeal execut pension polit action committe csce elect charl nastro execut vice presid shearson lehman bro vice chairman anthoni maccia vice presid woodhous drake carey name vice chairman clifford evan presid demico futur elect treasur
